UnqID,wave,Year,Date,Hour,Count,Borough,Functional,Latitude,Longitude,Easting,Northing,rainfall
ML0001,2024,2024,20240716,6,202,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,7,713,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,8,1203,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,9,557,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,10,144,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,11,113,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,12,136,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,13,136,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,14,121,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,15,143,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,16,291,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,17,847,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.9192708333333334
ML0001,2024,2024,20240716,18,886,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,19,487,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,20,295,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0001,2024,2024,20240716,21,149,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45,0.0
ML0002,2024,2024,20240723,6,243,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,7,699,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,8,1537,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,9,971,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,10,422,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,11,346,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.013020833333333334
ML0002,2024,2024,20240723,12,471,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0546875
ML0002,2024,2024,20240723,13,398,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,14,388,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,15,373,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,16,609,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,17,1314,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,18,1492,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,19,788,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,20,662,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0002,2024,2024,20240723,21,416,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45,0.0
ML0003,2024,2024,20240515,6,162,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,7,485,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,8,873,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,9,455,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,10,151,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,11,118,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,12,145,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,13,181,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,14,123,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,15,177,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,16,297,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,17,736,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,18,689,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,19,353,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,20,221,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0003,2024,2024,20240515,21,147,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37,0.0
ML0004,2024,2024,20240709,6,105,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64,0.0
ML0004,2024,2024,20240709,7,281,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64,0.0
