wave,Year,Date
2015,2014,2014-09-01
2015,2014,2014-09-02
2015,2014,2014-09-08
2015,2014,2014-09-09
2015,2014,2014-09-10
2015,2014,2014-09-11
2015,2014,2014-09-12
2015,2014,2014-09-15
2015,2014,2014-09-16
2015,2014,2014-09-17
2015,2014,2014-09-18
2015,2014,2014-09-19
2015,2014,2014-09-22
2015,2014,2014-09-23
2015,2014,2014-09-24
2015,2014,2014-09-25
2015,2014,2014-09-26
2015,2014,2014-09-29
2015,2014,2014-09-30
2015,2014,2014-10-01
2015,2014,2014-10-02
2015,2014,2014-10-03
2015,2014,2014-10-06
2015,2014,2014-10-07
2015,2014,2014-10-08
2015,2014,2014-10-09
2015,2014,2014-10-10
2015,2014,2014-10-13
2015,2014,2014-10-14
2015,2014,2014-10-15
2015,2014,2014-10-16
2015,2014,2014-10-17
2015,2014,2014-10-20
2015,2014,2014-10-21
2015,2014,2014-10-22
2015,2014,2014-10-23
2015,2014,2014-10-24
2015,2015,2015-03-24
2015,2015,2015-03-26
2015,2015,2015-03-27
2015,2015,2015-03-30
2015,2015,2015-03-31
2015,2015,2015-04-01
2015,2015,2015-04-02
2015,2015,2015-04-06
2015,2015,2015-04-13
2015,2015,2015-04-14
2015,2015,2015-04-15
2015,2015,2015-04-16
2015,2015,2015-04-17
2015,2015,2015-04-20
2015,2015,2015-04-21
2015,2015,2015-04-22
2015,2015,2015-04-23
2015,2015,2015-04-24
2015,2015,2015-04-27
2015,2015,2015-04-28
2015,2015,2015-04-29
2015,2015,2015-04-30
2015,2015,2015-05-01
2015,2015,2015-05-05
2015,2015,2015-05-06
2015,2015,2015-05-07
2015,2015,2015-05-08
2015,2015,2015-05-11
2015,2015,2015-05-12
2015,2015,2015-05-13
2015,2015,2015-05-14
2015,2015,2015-05-15
2015,2015,2015-05-18
2015,2015,2015-05-19
2015,2015,2015-05-20
2015,2015,2015-05-21
2015,2015,2015-05-22
2015,2015,2015-05-27
2015,2015,2015-05-28
2015,2015,2015-06-01
2015,2015,2015-06-02
2015,2015,2015-06-03
2015,2015,2015-06-04
2015,2015,2015-06-05
2015,2015,2015-06-08
2015,2015,2015-06-09
2015,2015,2015-06-10
2015,2015,2015-06-11
2015,2015,2015-06-12
2015,2015,2015-06-15
2015,2015,2015-06-16
2015,2015,2015-06-17
2015,2015,2015-06-18
2015,2015,2015-06-19
2015,2015,2015-06-22
2015,2015,2015-06-23
2015,2015,2015-06-24
2015,2015,2015-06-25
2015,2015,2015-06-26
2015,2015,2015-06-29
2015,2015,2015-06-30
2015,2015,2015-07-01
2015,2015,2015-07-02
2015,2015,2015-07-03
2015,2015,2015-07-06
2015,2015,2015-07-07
2015,2015,2015-07-08
2015,2015,2015-07-09
2015,2015,2015-07-10
2015,2015,2015-07-13
2015,2015,2015-07-14
2015,2015,2015-07-15
2015,2015,2015-07-16
2015,2015,2015-07-17
2015,2015,2015-07-20
2015,2015,2015-07-21
2015,2015,2015-07-22
2016,2015,2015-09-01
2016,2015,2015-09-02
2016,2015,2015-09-03
2016,2015,2015-09-04
2016,2015,2015-09-07
2016,2015,2015-09-08
2016,2015,2015-09-09
2016,2015,2015-09-10
2016,2015,2015-09-11
2016,2015,2015-09-14
2016,2015,2015-09-15
2016,2015,2015-09-16
2016,2015,2015-09-17
2016,2015,2015-09-18
2016,2015,2015-09-21
2016,2015,2015-09-22
2016,2015,2015-09-23
2016,2015,2015-09-24
2016,2015,2015-09-25
2016,2015,2015-09-28
2016,2015,2015-09-29
2016,2015,2015-09-30
2016,2015,2015-10-01
2016,2015,2015-10-02
2016,2015,2015-10-05
2016,2015,2015-10-06
2016,2015,2015-10-07
2016,2015,2015-10-08
2016,2015,2015-10-09
2016,2015,2015-10-12
2016,2015,2015-10-13
2016,2015,2015-10-14
2016,2015,2015-10-15
2016,2015,2015-10-16
2016,2015,2015-10-19
2016,2015,2015-10-20
2016,2015,2015-10-21
2016,2015,2015-10-22
2016,2015,2015-10-23
2016,2015,2015-11-03
2016,2015,2015-11-04
2016,2015,2015-11-05
2016,2015,2015-11-06
2016,2016,2016-03-21
2016,2016,2016-03-22
2016,2016,2016-03-23
2016,2016,2016-03-24
2016,2016,2016-04-04
2016,2016,2016-04-11
2016,2016,2016-04-12
2016,2016,2016-04-13
2016,2016,2016-04-14
2016,2016,2016-04-15
2016,2016,2016-04-18
2016,2016,2016-04-19
2016,2016,2016-04-20
2016,2016,2016-04-21
2016,2016,2016-04-22
2016,2016,2016-04-25
2016,2016,2016-04-26
2016,2016,2016-04-27
2016,2016,2016-04-28
2016,2016,2016-04-29
2016,2016,2016-05-03
2016,2016,2016-05-04
2016,2016,2016-05-05
2016,2016,2016-05-06
2016,2016,2016-05-09
2016,2016,2016-05-10
2016,2016,2016-05-11
2016,2016,2016-05-12
2016,2016,2016-05-13
2016,2016,2016-05-16
2016,2016,2016-05-17
2016,2016,2016-05-18
2016,2016,2016-05-19
2016,2016,2016-05-20
2016,2016,2016-05-21
2016,2016,2016-05-23
2016,2016,2016-05-24
2016,2016,2016-05-25
2016,2016,2016-05-26
2016,2016,2016-05-27
2016,2016,2016-06-06
2016,2016,2016-06-07
2016,2016,2016-06-08
2016,2016,2016-06-09
2016,2016,2016-06-10
2016,2016,2016-06-13
2016,2016,2016-06-14
2016,2016,2016-06-15
2016,2016,2016-06-16
2016,2016,2016-06-17
2016,2016,2016-06-20
2016,2016,2016-06-21
2016,2016,2016-06-22
2016,2016,2016-06-23
2016,2016,2016-06-24
2016,2016,2016-06-27
2016,2016,2016-06-28
2016,2016,2016-06-29
2016,2016,2016-06-30
2016,2016,2016-07-01
2016,2016,2016-07-04
2016,2016,2016-07-05
2016,2016,2016-07-06
2016,2016,2016-07-07
2016,2016,2016-07-08
2016,2016,2016-07-11
2016,2016,2016-07-12
2016,2016,2016-07-13
2016,2016,2016-07-14
2016,2016,2016-07-15
2016,2016,2016-07-18
2016,2016,2016-07-19
2016,2016,2016-07-20
2016,2016,2016-07-21
2016,2016,2016-07-22
2016,2016,2016-07-25
2016,2016,2016-07-26
2016,2016,2016-07-27
2016,2016,2016-07-28
2017,2016,2016-09-02
2017,2016,2016-09-05
2017,2016,2016-09-06
2017,2016,2016-09-07
2017,2016,2016-09-08
2017,2016,2016-09-12
2017,2016,2016-09-14
2017,2016,2016-09-15
2017,2016,2016-09-16
2017,2016,2016-09-19
2017,2016,2016-09-20
2017,2016,2016-09-21
2017,2016,2016-09-22
2017,2016,2016-09-23
2017,2016,2016-09-26
2017,2016,2016-09-27
2017,2016,2016-09-28
2017,2016,2016-09-29
2017,2016,2016-09-30
2017,2016,2016-10-03
2017,2016,2016-10-04
2017,2016,2016-10-05
2017,2016,2016-10-06
2017,2016,2016-10-07
2017,2016,2016-10-10
2017,2016,2016-10-11
2017,2016,2016-10-12
2017,2016,2016-10-13
2017,2016,2016-10-14
2017,2016,2016-10-17
2017,2016,2016-10-18
2017,2016,2016-10-19
2017,2016,2016-10-20
2017,2016,2016-10-21
2017,2016,2016-10-31
2017,2016,2016-11-01
2017,2016,2016-11-02
2017,2016,2016-11-04
2017,2016,2016-11-10
2017,2016,2016-11-11
2017,2016,2016-11-14
2017,2017,2017-03-27
2017,2017,2017-03-28
2017,2017,2017-03-29
2017,2017,2017-03-30
2017,2017,2017-03-31
2017,2017,2017-04-03
2017,2017,2017-04-18
2017,2017,2017-04-19
2017,2017,2017-04-20
2017,2017,2017-04-21
2017,2017,2017-04-24
2017,2017,2017-04-25
2017,2017,2017-04-26
2017,2017,2017-04-27
2017,2017,2017-04-28
2017,2017,2017-05-02
2017,2017,2017-05-03
2017,2017,2017-05-04
2017,2017,2017-05-05
2017,2017,2017-05-06
2017,2017,2017-05-07
2017,2017,2017-05-08
2017,2017,2017-05-09
2017,2017,2017-05-10
2017,2017,2017-05-11
2017,2017,2017-05-12
2017,2017,2017-05-13
2017,2017,2017-05-14
2017,2017,2017-05-15
2017,2017,2017-05-16
2017,2017,2017-05-17
2017,2017,2017-05-18
2017,2017,2017-05-19
2017,2017,2017-05-20
2017,2017,2017-05-21
2017,2017,2017-05-22
2017,2017,2017-05-23
2017,2017,2017-05-24
2017,2017,2017-05-25
2017,2017,2017-05-26
2017,2017,2017-05-28
2017,2017,2017-06-05
2017,2017,2017-06-06
2017,2017,2017-06-07
2017,2017,2017-06-08
2017,2017,2017-06-09
2017,2017,2017-06-10
2017,2017,2017-06-11
2017,2017,2017-06-12
2017,2017,2017-06-13
