UnqID,wave,Year,Date,Hour,Count,Borough,Functional,Latitude,Longitude,Easting,Northing
ML0001,2018,2018,2018-06-18,6,166,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-18,7,764,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-18,8,1382,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-18,9,581,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-18,14,57,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-18,15,94,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-18,16,221,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-18,17,696,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-20,10,198,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-20,11,94,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-20,12,55,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-20,13,54,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-20,18,1036,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-20,19,422,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-20,20,192,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2018,2018,2018-06-20,21,56,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0002,2018,2018,2018-06-06,14,55,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-06,15,234,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-06,16,280,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-06,17,629,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-06,18,818,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-06,19,440,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-07,10,68,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-07,11,155,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-07,12,173,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-07,13,153,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-07,14,112,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-20,6,194,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-20,7,468,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-20,8,845,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-20,9,476,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-20,10,81,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-20,20,252,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2018,2018,2018-06-20,21,208,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0003,2018,2018,2018-04-18,6,155,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-18,7,560,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-18,8,1069,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-18,9,242,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-18,14,77,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-18,15,144,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-18,16,204,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-18,17,825,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-18,18,1110,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-18,19,279,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-23,11,37,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-23,12,77,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-23,13,92,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-25,19,186,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-25,20,175,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-25,21,91,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-26,9,352,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-26,10,162,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2018,2018,2018-04-26,11,57,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0004,2018,2018,2018-05-25,14,45,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2018,2018,2018-05-25,15,58,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2018,2018,2018-05-25,16,133,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2018,2018,2018-05-25,17,318,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2018,2018,2018-05-25,18,283,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2018,2018,2018-05-25,19,133,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2018,2018,2018-05-25,20,58,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2018,2018,2018-05-25,21,35,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2018,2018,2018-06-04,6,109,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2018,2018,2018-06-04,7,347,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2018,2018,2018-06-04,8,754,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2018,2018,2018-06-04,9,299,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2018,2018,2018-06-04,10,55,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
